time,pos_x,pos_y
3337.069,0.8061142119486693,1.1344290954866434
3337.12,0.8058920440808138,1.1526140027040488
3337.171,0.8056609894982442,1.1708185099214543
3337.222,0.8054388216303887,1.1890034171388597
3337.273,0.805207767047819,1.2072079243562652
3337.324,0.8049855991799636,1.2253928315736706
3337.375,0.8047545445973939,1.2435973387910761
3337.426,0.8045323767295385,1.2617822460084815
3337.477,0.8043013221469688,1.279986753225887
3337.528,0.8040791542791134,1.2981716604432925
3337.579,0.8038480996965437,1.316376167660698
3337.63,0.8036259318286882,1.3345610748781034
3337.681,0.8033948772461186,1.352765582095509
3337.732,0.8031727093782631,1.3709504893129143
3337.783,0.8029416547956935,1.3891549965303198
3337.834,0.802719486927838,1.4073399037477252
3337.885,0.8024884323452683,1.4255444109651307
3337.936,0.8022662644774129,1.4437293181825361
3337.987,0.8020352098948432,1.4619338253999417
3338.038,0.8018130420269878,1.480118732617347
3338.089,0.8015819874444181,1.4983232398347526
3338.14,0.8013598195765627,1.516508147052158
3338.191,0.801128764993993,1.5347126542695635
3338.242,0.8009065971261375,1.552897561486969
3338.293,0.8006755425435679,1.5711020687043744
3338.344,0.8004533746757124,1.5892869759217798
3338.395,0.8002223200931428,1.6074914831391853
3338.446,0.8000001522252873,1.6256763903565907
3338.497,0.7997690976427176,1.6438808975739962
3338.548,0.7995469297748622,1.6620658047914016
3338.599,0.7993158751922925,1.6802703120088072
3338.65,0.7990937073244371,1.6984552192262126
3338.701,0.7988626527418674,1.716659726443618
3338.752,0.798640484874012,1.7348446336610235
3338.803,0.7984094302914423,1.753049140878429
3338.854,0.7981872624235868,1.7712340480958344
3338.905,0.7979562078410172,1.78943855531324
3338.956,0.7977340399731617,1.8076234625306453
3339.007,0.7975029853905921,1.8258279697480508
3339.058,0.7972808175227366,1.8440128769654562
3339.109,0.7970497629401669,1.8622173841828618
3339.16,0.7968275950723115,1.8804022914002672
3339.211,0.7965965404897418,1.8986067986176727
3339.262,0.7963743726218864,1.916791705835078
3339.313,0.7961433180393167,1.9349962130524836
3339.364,0.7959211501714613,1.953181120269889
3339.415,0.7956900955888916,1.9713856274872945
3339.466,0.7954679277210361,1.9895705347047
3339.517,0.7952368731384665,2.0077750419221077
3339.568,0.795014705270611,2.025959949139519
3339.619,0.7947836506880414,2.04416445635693
3339.67,0.7945614828201859,2.062349363574341
3339.721,0.7943304282376162,2.080553870791752
3339.772,0.7941082603697608,2.0987387780091633
3339.823,0.7938772057871911,2.1169432852265744
3339.874,0.7936550379193357,2.1351281924439856
3339.925,0.793423983336766,2.1533326996613966
3339.976,0.7932018154689106,2.171517606878808
3340.027,0.7929707608863409,2.189722114096219
3340.078,0.7927485930184854,2.20790702131363
3340.129,0.7925175384359158,2.226111528531041
3340.18,0.7922953705680603,2.2442964357484523
3340.231,0.7920643159854907,2.2625009429658633
3340.282,0.7918421481176352,2.2806858501832745
3340.333,0.7916110935350655,2.2988903574006856
3340.384,0.7913889256672101,2.3170752646180968
3340.435,0.7911578710846404,2.335279771835508
3340.486,0.790935703216785,2.353464679052919
3340.537,0.7907046486342153,2.37166918627033
3340.588,0.7904824807663599,2.3898540934877412
3340.639,0.7902514261837902,2.4080586007051523
3340.69,0.7900292583159347,2.4262435079225635
3340.741,0.7897982037333651,2.4444480151399746
3340.792,0.7895760358655096,2.4626329223573857
3340.843,0.78934498128294,2.480837429574797
3340.894,0.7891228134150845,2.499022336792208
3340.945,0.7888917588325148,2.517226844009619
3340.996,0.7886695909646594,2.53541175122703
3341.047,0.7884385363820897,2.5536162584444413
3341.098,0.7882163685142343,2.5718011656618525
3341.149,0.7879853139316646,2.5900056728792635
3341.2,0.7877631460638091,2.6081905800966747
3341.251,0.7875320914812395,2.6263950873140858
3341.302,0.787309923613384,2.644579994531497
3341.353,0.7870788690308144,2.662784501748908
3341.404,0.7868567011629589,2.680969408966319
3341.455,0.7866256465803892,2.6991739161837303
3341.506,0.7864034787125338,2.7173588234011414
3341.557,0.7861724241299641,2.7355633306185525
3341.608,0.7859502562621087,2.7537482378359637
3341.659,0.785719201679539,2.7719527450533747
3341.71,0.7854970338116836,2.790137652270786
3341.761,0.7852659792291139,2.808342159488197
3341.812,0.7850438113612584,2.826527066705608
